BV_LSTM,seq_len_LSTM,ti_train_LSTM,tf_train_LSTM,ti_test_LSTM,tf_test_LSTM,NSE_train_LSTM,MAE_train_LSTM,NSE_val_LSTM,MAE_val_LSTM,NSE_test_LSTM,MAE_test_LSTM,training_finished_LSTM,epoch_LSTM,loss_fonction_LSTM,training_time_LSTM,nom_LSTM,BV_GR4J,param_final_GR4J,temps_calibration_GR4J,NSE_calibration_GR4J,ti_train_GR4J,tf_train_GR4J,ti_test_GR4J,tf_test_GR4J,NSE_test_GR4J,MAE_test_GR4J,training_finished_GR4J,BV,mean_precip,min_precip,max_precip,mean_ETP,min_ETP,max_ETP,mean_flow_mm,min_flow_mm,max_flow_mm,mean_precipitation,min_precipitation,max_precipitation,mean_evapotranspiration,min_evapotranspiration,max_evapotranspiration,training_time_norm_LSTM,best_MAE_val_LSTM,best_NSE_val_LSTM
D0137020,7,1997-01-07,2005-02-17,2008-04-08,2012-12-31,0.8441131,0.41899997,0.6671165,0.5259377,0.59817517,0.53322077,True,210,MAE,54.22361731529236,Loic,D0137020,[196.36987535   0.22177897  14.5850933    2.21771772],0.3930447101593017,0.6072267969642302,1997-01-30,2005-02-28,2008-04-15,2012-12-31,0.793503998915946,0.4262251627508269,True,D0137020,,,,,,,1.242914748953975,0.055,20.582,2.527546714579056,0.0,46.278,1.7242399041752223,0.0,5.298,54.22361731529235,True,False
D0137020,7,1997-01-07,2005-02-17,2008-04-08,2012-12-31,0.9018814,0.38863292,0.70099986,0.50581074,0.6370858,0.500388,True,339,NSE,89.38748097419739,Loic,D0137020,[196.36987535   0.22177897  14.5850933    2.21771772],0.3930447101593017,0.6072267969642302,1997-01-30,2005-02-28,2008-04-15,2012-12-31,0.793503998915946,0.4262251627508269,True,D0137020,,,,,,,1.242914748953975,0.055,20.582,2.527546714579056,0.0,46.278,1.7242399041752223,0.0,5.298,89.38748097419739,True,False
D0137020,15,1997-01-15,2005-02-21,2008-04-11,2012-12-31,0.8741124,0.3718488,0.7307763,0.48676032,0.6322774,0.52455163,True,152,MAE,57.79326272010803,Loic,D0137020,[196.36987535   0.22177897  14.5850933    2.21771772],0.3930447101593017,0.6072267969642302,1997-01-30,2005-02-28,2008-04-15,2012-12-31,0.793503998915946,0.4262251627508269,True,D0137020,,,,,,,1.242914748953975,0.055,20.582,2.527546714579056,0.0,46.278,1.7242399041752223,0.0,5.298,57.79326272010803,False,False
D0137020,15,1997-01-15,2005-02-21,2008-04-11,2012-12-31,0.90403223,0.3615773,0.7421987,0.47044414,0.6401192,0.48393133,True,215,NSE,83.18128228187561,Loic,D0137020,[196.36987535   0.22177897  14.5850933    2.21771772],0.3930447101593017,0.6072267969642302,1997-01-30,2005-02-28,2008-04-15,2012-12-31,0.793503998915946,0.4262251627508269,True,D0137020,,,,,,,1.242914748953975,0.055,20.582,2.527546714579056,0.0,46.278,1.7242399041752223,0.0,5.298,83.18128228187561,False,False
D0137020,30,1997-01-30,2005-02-28,2008-04-15,2012-12-31,0.95338374,0.2285938,0.78939265,0.42468873,0.67069626,0.46047056,True,179,MAE,107.58776140213013,Loic,D0137020,[196.36987535   0.22177897  14.5850933    2.21771772],0.3930447101593017,0.6072267969642302,1997-01-30,2005-02-28,2008-04-15,2012-12-31,0.793503998915946,0.4262251627508269,True,D0137020,,,,,,,1.242914748953975,0.055,20.582,2.527546714579056,0.0,46.278,1.7242399041752223,0.0,5.298,107.58776140213013,False,True
D0137020,30,1997-01-30,2005-02-28,2008-04-15,2012-12-31,0.95386255,0.269895,0.75678587,0.45300582,0.7004351,0.43825722,True,198,NSE,117.51009440422058,Loic,D0137020,[196.36987535   0.22177897  14.5850933    2.21771772],0.3930447101593017,0.6072267969642302,1997-01-30,2005-02-28,2008-04-15,2012-12-31,0.793503998915946,0.4262251627508269,True,D0137020,,,,,,,1.242914748953975,0.055,20.582,2.527546714579056,0.0,46.278,1.7242399041752223,0.0,5.298,117.51009440422058,False,True
E6456510,7,1997-01-07,2004-10-21,2008-05-03,2012-12-31,0.018731654,0.21307859,-1.7890859,0.13572748,-1.1098359,0.13307361,True,125,MAE,32.49475049972534,Loic,E6456510,[ 2.87028992e+03 -9.79079958e+00  7.54007462e+02  1.01039273e+00],0.5478062629699707,0.1613596929744443,1997-01-30,2004-11-02,2008-05-10,2012-12-31,0.2595422965884334,0.0743081321441274,True,E6456510,,,,,,,0.6269067722075637,0.333,1.959,2.352223134839152,0.0,60.468,1.7358254620123204,0.0,5.024,32.49475049972534,True,True
E6456510,7,1997-01-07,2004-10-21,2008-05-03,2012-12-31,0.024748623,0.22763667,-6.8110414,0.2485047,-4.5674205,0.23027995,True,99,NSE,26.49532723426819,Loic,E6456510,[ 2.87028992e+03 -9.79079958e+00  7.54007462e+02  1.01039273e+00],0.5478062629699707,0.1613596929744443,1997-01-30,2004-11-02,2008-05-10,2012-12-31,0.2595422965884334,0.0743081321441274,True,E6456510,,,,,,,0.6269067722075637,0.333,1.959,2.352223134839152,0.0,60.468,1.7358254620123204,0.0,5.024,26.495327234268192,True,True
E6456510,15,1997-01-15,2004-10-25,2008-05-05,2012-12-31,0.4225307,0.15924586,-5.607966,0.19998085,-3.6263041,0.18446495,True,223,MAE,84.40574979782104,Loic,E6456510,[ 2.87028992e+03 -9.79079958e+00  7.54007462e+02  1.01039273e+00],0.5478062629699707,0.1613596929744443,1997-01-30,2004-11-02,2008-05-10,2012-12-31,0.2595422965884334,0.0743081321441274,True,E6456510,,,,,,,0.6269067722075637,0.333,1.959,2.352223134839152,0.0,60.468,1.7358254620123204,0.0,5.024,84.40574979782104,False,False
E6456510,15,1997-01-15,2004-10-25,2008-05-05,2012-12-31,0.18011022,0.20527697,-2.6641262,0.15743417,-2.0331006,0.15563203,True,100,NSE,38.96641993522644,Loic,E6456510,[ 2.87028992e+03 -9.79079958e+00  7.54007462e+02  1.01039273e+00],0.5478062629699707,0.1613596929744443,1997-01-30,2004-11-02,2008-05-10,2012-12-31,0.2595422965884334,0.0743081321441274,True,E6456510,,,,,,,0.6269067722075637,0.333,1.959,2.352223134839152,0.0,60.468,1.7358254620123204,0.0,5.024,38.96641993522644,False,False
