Lon,Lat,CODE,AREA_SQKM_,AREA_SQK_1,STOR_,NEI_F,DEV90_,DEV00_,DEV06_,DEV12_,DEV90,DEV00,DEV06,DEV12,Y2006,Y2009,Y2012,Y2015,lngth,yr_db,yr_fn,Q_DIS,Qm,Pm,ETPm,Arid
2.489717,47.946503,H3322010,342.83,342.8402133036815,0.0,2.544820182501342,2.526033310970452,2.747717527637604,3.0423241839979,3.097745238164688,2.406440509873698,2.610623341014497,3.0423241839979,3.0423241839979,0.954199150159491,0.998129744184473,1.001214557893926,1.017473999593981,16.0,1997.0,2012.0,0.999643509012092,0.014834695089187,0.079536626561358,0.079566349211442,1.000373695198363
2.71514,49.175467,H7813010,334.4,334.4422489966947,0.0,2.208569953536397,7.248803827751196,7.77511961722488,7.98444976076555,8.211722488038278,5.565191387559809,6.229066985645933,6.650717703349282,6.857057416267943,2.526088190104761,2.536336997213219,2.570649092801014,2.61434129620172,16.0,1997.0,2012.0,0.913593714350901,0.01542007977686,0.082674247387165,0.077131686024127,0.932959027543082
3.919848,46.834405,K1753110,333.49,333.5074905216303,0.0,3.707132018209408,1.544274191130169,1.601247413715554,1.421331973972233,1.439323517946565,1.358361570062071,1.358361570062071,1.235419352904135,1.235419352904135,0.42236564195255,0.425647157878577,0.430532933858823,0.438685140363797,16.0,1997.0,2012.0,0.999985740360484,0.043939386439621,0.121475835751851,0.077832552675108,0.640724570139571
2.480753,47.345092,K6373020,331.74,331.7864651986167,0.0,3.143859649122807,0.723458129860734,1.064086332670163,1.136432145656237,1.136432145656237,0.723458129860734,0.723458129860734,0.783746307349129,0.783746307349129,0.201977896649294,0.204075629289652,0.204970179645483,0.206275837375085,16.0,1997.0,2012.0,0.999914442162902,0.03160468217993,0.100402937319119,0.078419639081394,0.781049248297032
4.37488,49.627704,H6233020,322.76,322.73275252253245,0.0,3.064694280078895,2.181187259883505,2.181187259883505,2.274135580617177,2.274135580617177,2.181187259883505,2.181187259883505,2.274135580617177,2.274135580617177,0.613549549728201,0.646434387727026,0.653766641961415,0.656066957015341,16.0,1997.0,2012.0,0.999964350901209,0.045985968612126,0.107134836716122,0.073423318139687,0.685335599257938
1.03295,48.482732,H9021010,314.91,314.9580381427229,0.0,2.964017991004498,2.175224667365279,2.238734876631419,2.413387952113302,2.413387952113302,2.041853227906386,2.105363437172525,2.276841002191102,2.276841002191102,0.854094329989865,0.856306657556585,0.871608801558535,0.87197201951725,16.0,1997.0,2012.0,0.986988078941364,0.018171966319483,0.08369619340104,0.075444259946099,0.901406115464655
5.035676,47.190309,U1415040,308.23,308.2477277298944,0.0,4.412756264236902,5.700288745417383,5.661356779028647,6.190182655808973,6.287512571780813,5.612691821042728,5.661356779028647,6.190182655808973,6.287512571780813,3.118269328094221,3.211180954407784,3.274926227657426,3.343858274051601,16.0,1997.0,2012.0,0.999914442162902,0.022122274423097,0.089844010446615,0.080584169012377,0.896934230436549
2.654693,42.890283,Y0655010,307.25,307.23029409111626,0.0,2.978144329896907,0.397070789259561,0.563059397884459,0.576078112286412,0.602115541090317,0.331977217249797,0.38079739625712,0.387306753458096,0.387306753458096,0.305090218349367,0.334654808542328,0.359243361051764,0.359744610268969,16.0,1997.0,2012.0,0.857389345197353,0.018564195253494,0.080682083901138,0.091993820941707,1.1402013458593
3.780258,49.208674,H6423010,299.24,299.22204408283284,0.0,3.393407761828814,1.239807512364657,1.34674508755514,1.821280577462906,1.821280577462906,1.216414917791739,1.34674508755514,1.821280577462906,1.821280577462906,0.774286688306876,0.731997625884278,0.733780886229594,0.739392675532171,16.0,1997.0,2012.0,0.998937656856035,0.016909480760009,0.082784144414668,0.07512570254392,0.907489020531322
1.067702,45.945998,L0813010,298.22,298.1958607132218,0.85999843729026,2.025026436376454,1.331231976393267,1.82415666286634,2.706055931862383,2.652404265307491,1.331231976393267,1.793977600429213,2.337200724297499,2.384145932533029,0.625313049555392,0.663289465035701,0.676119969577016,0.685511120888437,16.0,1997.0,2012.0,0.996627595254392,0.044207847188183,0.114821283193601,0.081393741080595,0.708873294007275
2.834703,50.198131,E1566010,295.82,295.8333689537374,0.0,3.07292759706191,4.671759853965249,6.176053005205868,6.5309985802177,6.730444189033872,4.671759853965249,6.176053005205868,6.5309985802177,6.730444189033872,1.781216705155732,1.859242243146332,1.874907382869752,1.877288386758319,16.0,1997.0,2012.0,0.90516626739676,0.022100525552277,0.086722233270012,0.073543135131474,0.848030914890631
1.15832,46.040591,L5223020,286.29,286.339011157181,0.0,2.253371185237757,2.714031227077439,2.581298683153446,2.542876104649132,2.441580215865032,2.333298403716511,2.392678752314087,2.42411540745398,2.441580215865032,0.748062107549713,0.77461357397797,0.783524596461574,0.784960641470689,16.0,1997.0,2012.0,0.973812172028291,0.040968514983759,0.119277679567056,0.080902952729295,0.678274028560851
2.629659,49.48164,H7423710,279.76,279.7715851917281,0.0,2.487012987012987,5.644123534458107,6.81298255647698,7.306262510723477,7.406348298541607,5.644123534458107,6.641406920217329,7.13111238204175,7.23119816985988,1.735652529492757,1.762915547269194,1.771231139433436,1.776438392986078,16.0,1997.0,2012.0,0.973562628336756,0.014723776832337,0.076874329750573,0.074772872761237,0.972663728366274
2.204651,50.063314,E6456510,269.57,269.57918230722527,0.0,3.057253760310529,4.343955187891828,4.703787513447342,4.967169937307564,5.052491004191861,4.343955187891828,4.703787513447342,4.967169937307564,5.052491004191861,1.110731752193061,1.125992664078915,1.14921831876213,1.151639970620748,16.0,1997.0,2012.0,0.973384382842802,0.026118964035049,0.098009291619772,0.072326023485626,0.737950680473742
