BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_train,MAE_train,NSE_val,MAE_val,NSE_test,MAE_test,training_finished,epoch,loss_fonction,training_time,nom
H7813010,7,1997-01-07,2004-04-26,2007-03-31,2011-08-16,0.28342032,0.119947985,-4.2662497,0.13045865,-5.5776324,0.14508675,True,99,MAE,15.737122535705566,Loic
H7813010,7,1997-01-07,2004-04-26,2007-03-31,2011-08-16,0.33877522,0.1271087,-6.350949,0.16551946,-7.8837852,0.17975883,True,99,NSE,16.28184938430786,Loic
H7813010,15,1997-01-15,2004-04-30,2007-04-03,2011-08-16,0.38990134,0.11037273,-5.9499445,0.14161149,-6.9342265,0.15364581,True,117,MAE,31.870685338974,Loic
H7813010,15,1997-01-15,2004-04-30,2007-04-03,2011-08-16,0.45155716,0.119239,-7.1894636,0.17219111,-8.919459,0.18878527,True,99,NSE,28.17748785018921,Loic
H7813010,30,1997-01-30,2004-05-07,2007-04-07,2011-08-16,0.68461967,0.08271952,-7.4683714,0.16021392,-6.637202,0.15737554,True,100,MAE,47.2125039100647,Loic
H7813010,30,1997-01-30,2004-05-07,2007-04-07,2011-08-16,0.6328627,0.095832825,-10.666719,0.18901789,-9.201993,0.18621168,True,100,NSE,47.63342142105103,Loic
I0113010,7,1997-01-07,2005-01-25,2008-03-26,2012-12-31,0.59025884,0.23672885,0.22192705,0.18890406,-0.62186766,0.19080709,True,205,MAE,35.70759630203247,Loic
I0113010,7,1997-01-07,2005-01-25,2008-03-26,2012-12-31,0.5785074,0.25781107,0.16691077,0.19630297,-0.99517,0.20788118,True,127,NSE,22.159851551055908,Loic
I0113010,15,1997-02-14,2005-01-29,2008-03-29,2012-12-31,0.7932067,0.18177772,0.12235373,0.1956489,-0.8087958,0.19799805,True,154,MAE,45.08989357948303,Loic
I0113010,15,1997-02-14,2005-01-29,2008-03-29,2012-12-31,0.8430447,0.1837498,0.017163217,0.22950108,-1.3265715,0.23229045,True,182,NSE,54.84921717643738,Loic
I0113010,30,1997-02-14,2005-01-29,2008-03-29,2012-12-31,0.8211577,0.16085394,-0.01165545,0.22236352,-0.728091,0.21060102,True,134,MAE,72.8576033115387,Loic
I0113010,30,1997-02-14,2005-01-29,2008-03-29,2012-12-31,0.8801353,0.15501368,-0.0048134327,0.216047,-0.42029083,0.2052657,True,147,NSE,84.27926921844482,Loic
I7222020,7,1997-01-07,2004-09-08,2008-07-06,2012-12-31,0.80599254,0.57794887,0.4293204,0.62712824,0.74582404,0.5804778,True,132,MAE,27.26254153251648,Loic
I7222020,7,1997-01-07,2004-09-08,2008-07-06,2012-12-31,0.9003394,0.4811049,0.43773115,0.63984805,0.679574,0.6621441,True,379,NSE,93.05171513557434,Loic
I7222020,15,1997-01-15,2004-09-12,2008-07-08,2012-12-31,0.9190314,0.35481107,0.6617459,0.45849773,0.84626216,0.4562525,True,142,MAE,50.93683624267578,Loic
I7222020,15,1997-01-15,2004-09-12,2008-07-08,2012-12-31,0.9313239,0.38559437,0.712435,0.45042288,0.82673126,0.4925048,True,163,NSE,59.260204553604126,Loic
I7222020,30,1997-01-30,2004-09-20,2008-07-12,2012-12-31,0.97119904,0.22218308,0.7367469,0.39746752,0.85358685,0.40778896,True,146,MAE,83.07071375846863,Loic
I7222020,30,1997-01-30,2004-09-20,2008-07-12,2012-12-31,0.97142065,0.24607047,0.73147464,0.40986305,0.8567015,0.41958243,True,139,NSE,84.4599220752716,Loic
J5704810,7,1997-01-07,2005-01-29,2008-04-01,2012-12-31,0.6167724,0.78141135,0.25728178,0.8149494,0.39672583,0.7126774,True,106,MAE,28.520623922348022,Loic
J5704810,7,1997-01-07,2005-01-29,2008-04-01,2012-12-31,0.64285886,0.798005,0.3597861,0.8201257,0.37998974,0.72267467,True,145,NSE,38.6531503200531,Loic
J5704810,15,1997-01-15,2005-02-02,2008-04-04,2012-12-31,0.8769666,0.4171652,0.54000425,0.65095544,0.555345,0.6366063,True,183,MAE,71.00627541542053,Loic
J5704810,15,1997-01-15,2005-02-02,2008-04-04,2012-12-31,0.8999087,0.44404134,0.48466527,0.71268165,0.48347783,0.6834752,True,225,NSE,90.38759303092957,Loic
J5704810,30,1997-01-30,2005-02-10,2008-04-08,2012-12-31,0.94869244,0.2608195,0.7644081,0.45668143,0.6449262,0.52472407,True,214,MAE,135.52173709869385,Loic
J5704810,30,1997-01-30,2005-02-10,2008-04-08,2012-12-31,0.96866035,0.23177008,0.809908,0.45113906,0.74726105,0.46833363,True,267,NSE,140.73948311805725,Loic
K1284810,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.7662007,0.71998173,0.60685515,0.8479776,0.6052457,0.8015831,True,217,MAE,39.00197696685791,Loic
K1284810,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.8048212,0.7075515,0.6425315,0.8312304,0.6417494,0.7944523,True,195,NSE,40.81622815132141,Loic
K1284810,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.9061637,0.43909907,0.7033022,0.64684665,0.80362535,0.57326216,True,198,MAE,78.93909811973572,Loic
K1284810,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.9137115,0.47987205,0.68103963,0.6418121,0.7791919,0.6032483,True,151,NSE,52.94173860549927,Loic
K1284810,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.944394,0.29589057,0.8082067,0.52463686,0.81705326,0.51624006,True,153,MAE,91.62653064727785,Loic
K1284810,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.96297556,0.29059574,0.82432127,0.49866638,0.8221963,0.5231973,True,161,NSE,100.86226677894592,Loic
K1764020,7,1997-01-07,2005-01-04,2008-03-17,2012-12-31,0.87864447,0.29553887,0.66423213,0.4254599,0.6992969,0.4177189,True,240,MAE,63.03938007354736,Loic
K1764020,7,1997-01-07,2005-01-04,2008-03-17,2012-12-31,0.8930668,0.313429,0.6488205,0.43231872,0.6815121,0.43540388,True,230,NSE,60.38952851295471,Loic
K1764020,15,1997-01-15,2005-01-08,2008-03-19,2012-12-31,0.9280954,0.22944258,0.76031566,0.35152614,0.8019687,0.3429394,True,139,MAE,53.76989269256592,Loic
K1764020,15,1997-01-15,2005-01-08,2008-03-19,2012-12-31,0.93661183,0.23494527,0.7057928,0.3823377,0.81409746,0.32657328,True,146,NSE,54.75628757476807,Loic
